ISSUE_DATE;FLIGHT_DATE_LOC;PAX_TYPE;REVENUE_AMOUNT;ORIG_CITY_CODE;DEST_CITY_CODE;ROUTE_FLIGHT_TYPE;FFP_FLAG;SALE_TYPE
2021-12-07 00:00:00;2022-01-11 00:00:00;AD;200;MOW;KGD;ВВЛ;;ONLINE
2021-12-31 00:00:00;2022-01-03 00:00:00;AD;610;UUS;OVB;ВВЛ;;OFFLINE
2021-11-28 00:00:00;2022-01-04 00:00:00;AD;390;KGD;MOW;ВВЛ;FFP;ONLINE
2021-12-08 00:00:00;2022-01-05 00:00:00;AD;190;VOZ;MOW;ВВЛ;;ONLINE
2021-12-08 00:00:00;2022-01-12 00:00:00;AD;190;MOW;KRR;ВВЛ;FFP;OFFLINE
2021-11-29 00:00:00;2022-01-14 00:00:00;AD;250;MOW;DUS;МВЛ;;ONLINE
2021-12-03 00:00:00;2022-01-06 00:00:00;AD;200;MOW;PEE;ВВЛ;FFP;ONLINE
2021-11-28 00:00:00;2022-01-07 00:00:00;CHD;70;MOW;AER;ВВЛ;FFP;ONLINE
2021-12-02 00:00:00;2022-01-10 00:00:00;CHD;490;MOW;NJC;ВВЛ;FFP;ONLINE
2021-11-25 00:00:00;2022-01-03 00:00:00;AD;280;MOW;KUF;ВВЛ;;ONLINE
2021-12-06 00:00:00;2022-01-24 00:00:00;AD;360;MOW;UUD;ВВЛ;;ONLINE
2021-11-28 00:00:00;2022-01-12 00:00:00;AD;380;OVB;AER;ВВЛ;FFP;ONLINE
2021-12-08 00:00:00;2022-01-03 00:00:00;AD;210;KZN;MOW;ВВЛ;;ONLINE
2021-12-05 00:00:00;2022-01-16 00:00:00;INF;0;PEZ;MOW;ВВЛ;;OFFLINE
2021-12-03 00:00:00;2022-01-14 00:00:00;AD;370;UUD;MOW;ВВЛ;FFP;ONLINE
2022-01-07 00:00:00;2022-01-15 00:00:00;AD;1090;GDZ;MOW;ВВЛ;;OFFLINE
2021-12-03 00:00:00;2022-01-20 00:00:00;AD;470;TAS;MOW;МВЛ;;OFFLINE
2021-12-08 00:00:00;2022-01-15 00:00:00;AD;450;SVX;OVB;ВВЛ;;OFFLINE
2021-11-25 00:00:00;2022-01-02 00:00:00;AD;300;OMS;MOW;ВВЛ;FFP;ONLINE
2021-12-02 00:00:00;2022-01-07 00:00:00;CHD;180;LED;HEL;МВЛ;;ONLINE
2021-12-15 00:00:00;2022-01-04 00:00:00;AD;570;OVB;LED;ВВЛ;;OFFLINE
2021-11-22 00:00:00;2022-01-03 00:00:00;AD;430;MOW;ABA;ВВЛ;;ONLINE
2022-01-13 00:00:00;2022-01-17 00:00:00;AD;570;OVB;EVN;МВЛ;;OFFLINE
2021-12-09 00:00:00;2022-01-02 00:00:00;AD;450;MOW;GDZ;ВВЛ;FFP;ONLINE
2021-11-29 00:00:00;2022-01-05 00:00:00;AD;350;OVB;MOW;ВВЛ;FFP;ONLINE
2021-11-25 00:00:00;2022-01-02 00:00:00;AD;130;OGZ;MOW;ВВЛ;FFP;ONLINE
2021-12-08 00:00:00;2022-01-02 00:00:00;CHD;230;MOW;KZN;ВВЛ;;ONLINE
2021-11-29 00:00:00;2022-01-05 00:00:00;AD;350;MOW;OVB;ВВЛ;;ONLINE
2021-11-22 00:00:00;2022-01-16 00:00:00;AD;290;AER;MOW;ВВЛ;;ONLINE
2021-11-26 00:00:00;2022-01-04 00:00:00;AD;160;MOW;KUF;ВВЛ;FFP;ONLINE
2021-11-22 00:00:00;2022-01-15 00:00:00;AD;130;MOW;AER;ВВЛ;FFP;ONLINE
2021-11-22 00:00:00;2022-01-02 00:00:00;AD;420;MOW;MRV;ВВЛ;FFP;ONLINE
2021-12-08 00:00:00;2022-01-11 00:00:00;INF;0;UFA;MOW;ВВЛ;;ONLINE
2021-12-01 00:00:00;2022-01-30 00:00:00;AD;200;EGO;MOW;ВВЛ;;OFFLINE
2021-12-09 00:00:00;2022-01-06 00:00:00;AD;280;KRR;MOW;ВВЛ;;OFFLINE
