shifr;level;god;napravlenie;programm;fo
01.03.02;Бакалавриат;2021;ПМ;ПМиИвЭиУ;ОФО
01.04.02;Магистратура;2021;ПМ;МиКМвЭиУ;ОФО
09.03.02;Бакалавриат;2021;ИС;ЦЭД;ОФО
09.03.03;Бакалавриат;2021;ПИ;УБПиП;ОФО
09.04.03;Магистратура;2021;ПИ;ЦТвЭиУ;ОФО
10.03.01;Бакалавриат;2021;ИБ;БКС;ОФО
27.03.02;Бакалавриат;2021;УК;УКвБС;ЗФО
27.03.02;Бакалавриат;2021;УК;УКвБС;ОФО
38.03.01;Бакалавриат;2021;Э;БУАиА;ОФО
38.03.01;Бакалавриат;2021;Э;ММиАДвЭ;ОФО
38.03.01;Бакалавриат;2021;Э;МЭиМР;ОФО
38.03.01;Бакалавриат;2021;Э;САиМСЭП;ОФО
38.03.01;Бакалавриат;2021;Э;ФиК;ОЗФО
38.03.01;Бакалавриат;2021;Э;ФиК;ОФО
38.03.01;Бакалавриат;2021;Э;ЭиФМК;ОФО
38.03.01;Бакалавриат;2021;Э;ЭП;ОФО
38.03.01;Бакалавриат;2021;Э;ЭПиО;ОФО
38.03.01;Бакалавриат;2021;Э;ЭПсУИКЯ;ОФО
38.03.02;Бакалавриат;2021;М;ЛиУЦП;ОЗФО
38.03.02;Бакалавриат;2021;М;ЛиУЦП;ОФО
38.03.02;Бакалавриат;2021;М;МБ;ОФО
38.03.02;Бакалавриат;2021;М;МиУБ;ОФО
38.03.02;Бакалавриат;2021;М;ПМ;ОФО
38.03.02;Бакалавриат;2021;М;УБ;ОФО
38.03.02;Бакалавриат;2021;М;УП;ОФО
38.03.02;Бакалавриат;2021;М;ФМиУИ;ОФО
38.03.03;Бакалавриат;2021;УП;КМ;ОФО
38.03.04;Бакалавриат;2021;ГМ;ГиМУвР;ОФО
38.03.05;Бакалавриат;2021;БИ;ДА;ОФО
38.03.06;Бакалавриат;2021;ТД;КиЭТ;ОФО
38.03.07;Бакалавриат;2021;ТВ;ЭиМТ;ОФО
