Region_id;Country_id;Item_id;Sales Channel;Order ID;Pay Date;Units Sold;Unit Price;Unit Cost
7;112;1;1;89775;09.03.2021;3604;668.27;502.54
4;68;2;2;59948;02.03.2021;8435;255.28;159.42
4;133;3;2;53891;06.03.2021;4848;421.89;364.69
4;105;3;2;45984;30.03.2021;7225;421.89;364.69
4;100;4;2;62639;19.03.2021;1975;205.70;117.11
1;70;3;2;47297;20.03.2021;2542;421.89;364.69
7;41;1;2;85433;03.03.2021;4398;668.27;502.54
4;59;1;2;89550;18.03.2021;49;668.27;502.54
7;26;5;1;24187;07.03.2021;4031;437.20;263.33
7;119;5;2;40909;24.03.2021;7911;437.20;263.33
7;142;6;1;73315;01.03.2021;5288;9.33;6.92
5;1;5;1;62035;02.03.2021;6792;437.20;263.33
1;69;7;2;89731;12.03.2021;5084;154.06;90.93
5;87;7;2;66095;01.03.2021;9855;154.06;90.93
5;171;8;2;42850;10.03.2021;2831;651.21;524.96
5;72;5;1;78751;06.03.2021;2766;437.20;263.33
7;134;9;1;14585;04.03.2021;445;81.73;56.67
4;175;2;1;58168;18.03.2021;3687;255.28;159.42
4;53;8;2;19350;17.03.2021;2339;651.21;524.96
7;153;10;1;75011;03.03.2021;3283;47.45;31.79
3;6;6;1;94060;24.03.2021;5428;9.33;6.92
5;83;9;2;42442;24.03.2021;4718;81.73;56.67
4;177;8;1;28129;20.03.2021;9125;651.21;524.96
3;135;9;2;76126;26.03.2021;3656;81.73;56.67
3;6;9;1;83470;19.03.2021;5345;81.73;56.67
3;136;5;1;44227;06.03.2021;8261;437.20;263.33
5;83;9;1;94497;05.03.2021;8502;81.73;56.67
7;153;8;2;17410;19.03.2021;9197;651.21;524.96
5;170;11;2;98126;24.03.2021;5509;152.58;97.44
5;183;4;2;88837;15.03.2021;9629;205.70;117.11
7;63;7;1;63769;26.03.2021;5781;154.06;90.93
2;173;1;2;14174;24.03.2021;5220;668.27;502.54
1;152;4;1;73341;20.03.2021;1232;205.70;117.11
4;139;3;1;21585;04.03.2021;4134;421.89;364.69
3;169;1;2;51255;20.03.2021;6276;668.27;502.54
4;82;3;1;91732;18.03.2021;7036;421.89;364.69
4;67;9;2;34427;01.03.2021;7826;81.73;56.67
7;20;9;1;47782;24.03.2021;7089;81.73;56.67
5;171;10;2;82270;15.03.2021;5298;47.45;31.79
4;143;5;2;95397;26.03.2021;9958;437.20;263.33
3;62;9;2;96698;03.03.2021;605;81.73;56.67
5;176;1;1;12741;10.03.2021;3806;668.27;502.54
2;138;7;1;92125;27.03.2021;8161;154.06;90.93
7;20;10;1;50479;28.03.2021;9298;47.45;31.79
5;11;8;1;15465;08.03.2021;4880;651.21;524.96
3;137;11;2;31775;28.03.2021;9598;152.58;97.44
5;123;2;1;16133;11.03.2021;176;255.28;159.42
4;67;10;2;72293;04.03.2021;370;47.45;31.79
4;128;4;2;86041;08.03.2021;5964;205.70;117.11
5;170;8;2;40196;14.03.2021;9777;651.21;524.96
4;92;6;1;59606;08.03.2021;6657;9.33;6.92
2;138;7;1;96150;01.03.2021;8484;154.06;90.93
7;156;10;1;63739;25.03.2021;9170;47.45;31.79
4;129;9;1;63317;05.03.2021;9656;81.73;56.67
2;52;7;2;67857;30.03.2021;2916;154.06;90.93
7;163;3;2;57363;12.03.2021;8955;421.89;364.69
7;140;5;2;63871;08.03.2021;9810;437.20;263.33
7;28;3;2;36450;17.03.2021;4547;421.89;364.69
5;87;7;1;66198;06.03.2021;4265;154.06;90.93
6;60;9;2;71244;05.03.2021;7094;81.73;56.67
7;64;2;2;21750;10.03.2021;3196;255.28;159.42
4;56;3;2;74908;14.03.2021;9762;421.89;364.69
3;76;3;2;79942;09.03.2021;6017;421.89;364.69
4;22;11;2;73106;19.03.2021;8215;152.58;97.44
1;79;1;1;52688;20.03.2021;4641;668.27;502.54
7;134;12;2;24003;15.03.2021;615;109.28;35.84
3;61;5;1;44401;16.03.2021;3484;437.20;263.33
3;66;8;2;88262;04.03.2021;7628;651.21;524.96
1;107;8;2;91997;28.03.2021;9459;651.21;524.96
3;16;3;1;89048;22.03.2021;2418;421.89;364.69
6;178;3;1;74888;25.03.2021;1979;421.89;364.69
7;151;3;1;52024;17.03.2021;648;421.89;364.69
4;9;7;2;74990;26.03.2021;2960;154.06;90.93
2;101;11;1;25355;14.03.2021;482;152.58;97.44
7;145;1;1;16716;07.03.2021;6814;668.27;502.54
4;132;3;1;79704;19.03.2021;2586;421.89;364.69
1;97;12;1;26980;29.03.2021;457;109.28;35.84
4;67;5;1;38236;15.03.2021;122;437.20;263.33
2;116;10;1;75196;15.03.2021;3303;47.45;31.79
7;110;8;1;16615;01.03.2021;8755;651.21;524.96
7;112;10;1;63279;22.03.2021;7264;47.45;31.79
5;170;9;1;63005;15.03.2021;6649;81.73;56.67
5;150;8;2;95642;23.03.2021;6756;651.21;524.96
4;40;9;2;68070;27.03.2021;4467;81.73;56.67
2;149;10;1;29200;10.03.2021;8693;47.45;31.79
2;180;7;2;34974;14.03.2021;5375;154.06;90.93
1;146;3;1;13366;26.03.2021;2488;421.89;364.69
4;93;6;2;79381;19.03.2021;5036;9.33;6.92
2;8;4;2;40054;30.03.2021;55;205.70;117.11
1;21;1;2;69454;27.03.2021;1613;668.27;502.54
2;126;7;1;33680;16.03.2021;5809;154.06;90.93
4;132;9;2;75860;30.03.2021;5772;81.73;56.67
1;84;9;1;31156;05.03.2021;6664;81.73;56.67
7;30;12;2;11760;23.03.2021;677;109.28;35.84
5;150;4;2;91896;27.03.2021;2034;205.70;117.11
7;167;12;1;82820;07.03.2021;1990;109.28;35.84
7;99;1;2;27816;22.03.2021;3832;668.27;502.54
4;139;11;2;67203;27.03.2021;7877;152.58;97.44
4;35;2;2;33328;16.03.2021;6474;255.28;159.42
1;161;2;1;35573;18.03.2021;9002;255.28;159.42
3;13;3;1;55348;07.03.2021;6872;421.89;364.69
7;47;5;1;81095;21.03.2021;8527;437.20;263.33
3;62;7;2;63288;08.03.2021;4441;154.06;90.93
4;177;1;1;49433;07.03.2021;2119;668.27;502.54
7;47;7;2;49064;28.03.2021;1096;154.06;90.93
7;163;11;1;78750;29.03.2021;7940;152.58;97.44
4;175;6;1;27089;22.03.2021;1249;9.33;6.92
6;27;11;1;59710;05.03.2021;6655;152.58;97.44
7;48;8;1;34276;12.03.2021;1816;651.21;524.96
4;56;6;1;85479;03.03.2021;1427;9.33;6.92
4;128;4;2;40042;26.03.2021;2210;205.70;117.11
6;104;12;2;91719;13.03.2021;7921;109.28;35.84
2;126;2;2;36298;30.03.2021;4346;255.28;159.42
4;175;3;1;36595;14.03.2021;4301;421.89;364.69
7;118;10;1;37460;20.03.2021;2636;47.45;31.79
2;116;1;1;80772;22.03.2021;1231;668.27;502.54
7;119;5;2;80441;05.03.2021;3997;437.20;263.33
7;95;10;1;47412;28.03.2021;1875;47.45;31.79
1;79;2;2;44656;12.03.2021;7841;255.28;159.42
5;83;12;2;52180;05.03.2021;1897;109.28;35.84
7;55;6;1;12019;07.03.2021;6082;9.33;6.92
3;46;9;2;53240;30.03.2021;9462;81.73;56.67
4;158;9;1;86943;25.03.2021;3135;81.73;56.67
7;5;7;2;31256;06.03.2021;5232;154.06;90.93
1;155;8;2;36343;07.03.2021;5914;651.21;524.96
4;37;12;2;79393;21.03.2021;2372;109.28;35.84
3;66;11;1;99632;26.03.2021;3832;152.58;97.44
7;50;3;2;43314;02.03.2021;6547;421.89;364.69
4;40;10;2;88725;08.03.2021;8804;47.45;31.79
4;68;1;2;61184;04.03.2021;5921;668.27;502.54
7;89;4;2;18037;08.03.2021;5245;205.70;117.11
7;151;3;2;23665;01.03.2021;1156;421.89;364.69
7;99;10;2;14480;26.03.2021;67;47.45;31.79
5;45;9;2;23924;30.03.2021;5418;81.73;56.67
4;105;3;1;47469;28.03.2021;2685;421.89;364.69
4;108;9;1;87622;13.03.2021;4371;81.73;56.67
2;113;1;2;18919;20.03.2021;5013;668.27;502.54
1;155;1;1;82926;19.03.2021;6179;668.27;502.54
2;81;5;1;33242;01.03.2021;1466;437.20;263.33
7;142;2;2;80498;16.03.2021;1505;255.28;159.42
5;71;8;1;37354;15.03.2021;8956;651.21;524.96
3;61;5;2;83503;30.03.2021;3513;437.20;263.33
7;39;3;2;90668;19.03.2021;6899;421.89;364.69
4;181;11;1;27604;25.03.2021;7869;152.58;97.44
7;153;7;2;95098;13.03.2021;7208;154.06;90.93
1;120;7;1;50967;04.03.2021;2735;154.06;90.93
5;78;1;1;65059;20.03.2021;4298;668.27;502.54
7;140;3;1;44254;16.03.2021;8777;421.89;364.69
4;132;12;1;37464;08.03.2021;5082;109.28;35.84
7;144;6;2;10631;27.03.2021;9157;9.33;6.92
7;55;12;1;71728;23.03.2021;8975;109.28;35.84
5;170;4;1;65760;13.03.2021;9540;205.70;117.11
4;54;1;1;69764;11.03.2021;7890;668.27;502.54
4;108;6;2;77807;20.03.2021;8091;9.33;6.92
7;99;5;1;45987;23.03.2021;6242;437.20;263.33
1;161;11;2;27435;24.03.2021;5472;152.58;97.44
2;52;3;1;37311;11.03.2021;944;421.89;364.69
5;87;9;1;97808;17.03.2021;4849;81.73;56.67
7;63;2;1;13149;08.03.2021;1412;255.28;159.42
7;145;2;2;44590;21.03.2021;1886;255.28;159.42
3;66;8;1;55416;20.03.2021;9558;651.21;524.96
6;60;7;1;95946;29.03.2021;4745;154.06;90.93
1;70;3;1;88526;13.03.2021;9797;421.89;364.69
7;167;12;1;52539;15.03.2021;4092;109.28;35.84
7;103;9;2;59394;20.03.2021;9043;81.73;56.67
7;145;11;1;97533;28.03.2021;3091;152.58;97.44
1;25;10;2;27432;30.03.2021;6710;47.45;31.79
3;76;7;1;76593;21.03.2021;7405;154.06;90.93
2;81;7;2;74555;16.03.2021;4712;154.06;90.93
3;43;7;1;37883;06.03.2021;5198;154.06;90.93
1;162;8;2;35177;23.03.2021;7463;651.21;524.96
4;115;10;1;52067;25.03.2021;7136;47.45;31.79
4;68;1;1;36213;05.03.2021;1878;668.27;502.54
1;161;10;1;32308;13.03.2021;6381;47.45;31.79
7;55;6;1;47076;30.03.2021;7369;9.33;6.92
