settlement_id;settlement
1;Абакан
2;Альметьевск
3;Анадырь
4;Ангарск
5;Арзамас
6;Армавир
7;Артем
8;Архангельск
9;Асбест
10;Астрахань
11;Ачинск
12;Балаково
13;Балашиха
14;Барнаул
15;Батайск
16;Белгород
17;Белово
18;Бердск
19;Березники
20;Бийск
21;Биробиджан
22;Благовещенск
23;Братск
24;Брянск
25;Великие Луки
26;Великий Новгород
27;Владивосток
28;Владикавказ
29;Владимир
30;Волгоград
31;Волгодонск
32;Волжский
33;Вологда
34;Воркута
35;Воронеж
36;Воткинск
37;Глазов
38;Горно-Алтайск
39;Грозный
40;Дербент
41;Дзержинск
42;Димитровград
43;Долгопрудный
44;Домодедово
45;Дудинка
46;Евпатория
47;Екатеринбург
48;Елец
49;Ессентуки
50;Железногорск
51;Железнодорожный
52;Жуковский
53;Зеленодольск
54;Златоуст
55;Иваново
56;Ижевск
57;Йошкар-Ола
58;Иркутск
59;Казань
60;Калининград
61;Калуга
62;Каменск-Уральский
63;Камышин
64;Канск
65;Каспийск
66;Кемерово
67;Керчь
68;Киров
69;Киселевск
70;Кисловодск
71;Ковров
72;Коломна
73;Комсомольск-на-Амуре
74;Копейск
75;Королев
76;Кострома
77;Красногорск
78;Краснодар
79;Красноярск
80;Кудымкар
81;Курган
82;Курск
83;Кызыл
84;Ленинск-Кузнецкий
85;Липецк
86;Люберцы
87;Магадан
88;Магас
89;Магнитогорск
90;Майкоп
91;Махачкала
92;Междуреченск
93;Миасс
94;Мичуринск
95;Мурманск
96;Муром
97;Мытищи
98;Набережные Челны
99;Назрань
100;Нальчик
101;Нарьян-Мар
102;Находка
103;Невинномысск
104;Нерюнгри
105;Нефтекамск
106;Нефтеюганск
107;Нижневартовск
108;Нижнекамск
109;Нижний Новгород
110;Нижний Тагил
111;Новокузнецк
112;Новокуйбышевск
113;Новомосковск
114;Новороссийск
115;Новосибирск
116;Новотроицк
117;Новочебоксарск
118;Новочеркасск
119;Новошахтинск
120;Новый Уренгой
121;Ногинск
122;Норильск
123;Ноябрьск
124;Обнинск
125;Одинцово
126;Октябрьский
127;Омск
128;Орёл
129;Оренбург
130;Орехово-Зуево
131;Орск
132;Пенза
133;Первоуральск
134;Пермь
135;Петрозаводск
136;Петропавловск-Камчатский
137;Подольск
138;Прокопьевск
139;Псков
140;Пушкино
141;Пятигорск
142;Раменское
143;Реутов
144;Ростов-на-Дону
145;Рубцовск
146;Рыбинск
147;Рязань
148;Салават
149;Салехард
150;Самара
151;Саранск
152;Сарапул
153;Саратов
154;Северодвинск
155;Сергиев Посад
156;Серов
157;Серпухов
158;Симферополь
159;Смоленск
160;Соликамск
161;Сочи
162;Ставрополь
163;Старый Оскол
164;Стерлитамак
165;Сургут
166;Сызрань
167;Сыктывкар
168;Таганрог
169;Тамбов
170;Тверь
171;Тобольск
172;Тольятти
173;Томск
174;Тула
175;Тюмень
176;Улан-Удэ
177;Ульяновск
178;Усолье-Сибирское
179;Уссурийск
180;Усть-Илимск
181;Уфа
182;Ухта
183;Феодосия
184;Хабаровск
185;Ханты-Мансийск
186;Хасавюрт
187;Химки
188;Чайковский
189;Чебоксары
190;Челябинск
191;Череповец
192;Черкесск
193;Чита
194;Шахты
195;Щелково
196;Электросталь
197;Элиста
198;Энгельс
199;Южно-Сахалинск
200;Якутск
201;Ялта
202;Ярославль
